"serial","year_serial","time_serial","incident_id","school","school_level","date","year","first_shot_time","time_slot","decimal_time","city","state","lat","long","location","location_type","shoot_category","time_slot_group","random","random_x","random_y","random_x1","random_y1","random_x2","random_y2","males","na","females","killed","injured","total","long2","lat2","frequency","school_number","random_x10","random_y10","internal_serial"
373,3,15,"19890126DCWOW","Woodrow Wilson HIgh School","High","1989-01-26",1989,"14:25:00",14,14.42,"Washington","DC",38.950164181,-77.077778007,"Parking Lot","Outside on School Property","10-30",14,0.16799909621477127,0.33090570801869035,0.29005425283685327,0.06291010836139321,0.7237420426681638,0.5181001182645559,0.3047030952293426,4,0,0,0,4,4,-956861.0385547351,-77256.48983452661,1,1879,0.49991849064826965,0.5678512877784669,1
374,4,22,"19890209IDRIR","Rigby Junior High School",NA,"1989-02-09",1989,"11:00:00",11,11,"Rigby","ID",43.67491,-111.9183,NA,NA,NA,11,0.17514949734322727,0.7404093029908836,0.7639463057275862,0.4820763976313174,0.4704303676262498,0.7729612838011235,0.14424900384619832,0,0,0,0,0,0,-1013297.4938059547,-409901.00489341724,1,1458,0.9753650131169707,0.9818714482244104,1
375,5,176,"19890210UTTHK","Thomas Jefferson Junior High School","JuniorHigh","1989-02-10",1989,"NA:NA:NA",NA,NA,"Kearns","UT",40.6451392,-112.0251181,"Parking Lot","Outside on School Property",NA,-1,0.6372173025738448,0.7828751148190349,5.476349033415318e-4,0.6593749010935426,0.8780323991086334,0.7884520292282104,0.891092310892418,0,0,0,0,0,0,1056906.7808349854,-294678.92283634475,1,1707,0.08365688566118479,0.9158483063802123,1
376,6,27,"19890303INWIG","Wirt High School","High","1989-03-03",1989,"12:09:00",12,12.15,"Gary","IN",41.61004,-87.26226,"Beside Building","Outside on School Property","0-5",12,0.29863887280225754,0.6520811535883695,0.755529711721465,0.030406798236072063,0.0049181547947227955,0.08857344253920019,0.40621302416548133,1,0,0,1,0,1,304757.7895190345,-1358083.399989521,3,24,0.7821635878644884,0.48271016147919,1
377,7,177,"19890426TXAMD","A Maceo Smith High School","High","1989-04-26",1989,"NA:NA:NA",NA,NA,"Dallas","TX",32.69263,-96.7675,"Parking Lot","Outside on School Property","0-5",-1,0.6510465370956808,0.06519630830734968,0.5833562847692519,0.5668523130007088,0.44528147228993475,0.874356355285272,0.5124753664713353,1,0,0,0,1,1,2099256.721725758,-610608.0473216269,1,136,0.8830174040049314,0.1609630356542766,1
378,8,5,"19890901VASAV","Salem High School","High","1989-09-01",1989,"21:00:00",21,21,"Virginia Beach","VA",36.783282,-76.144182,"Parking Lot","Outside on School Property",NA,21,0.5602338346652687,0.031780218705534935,0.17674802709370852,0.6331393041182309,0.8205041161272675,0.09133156598545611,0.7000593398697674,2,0,0,0,2,2,-1145950.8891208814,-1181816.3011691535,2,109,0.01883215899579227,0.1375155672430992,1
379,9,10,"19890911AZDYE","Dysart High School","High","1989-09-11",1989,"07:30:00",7,7.5,"El Mirage","AZ",33.5905927,-112.3400306,"Inside School Building","Inside School Building","0-5",7,0.6777205138932914,0.3356454463209957,0.7082732515409589,0.7564346687868237,0.22970483568497002,0.4997040394227952,0.20443855598568916,1,0,0,1,0,1,1413137.5990017466,-705294.8863230204,1,542,0.8315685980487615,0.26403076434507966,1
380,10,178,"19890918KYJAM","Jackson County High School","High","1989-09-18",1989,"NA:NA:NA",NA,NA,"McKee","KY",37.42206,-83.94726,"Classroom","Inside School Building","0-5",-1,0.24606066499836743,0.738816216122359,0.6716818013228476,0.6498896481934935,0.47240337007679045,0.06114283460192382,0.6762464614585042,0,0,0,0,0,0,-1653786.8943265737,-1065402.4148320516,1,870,0.9889634111896157,0.7230566220823675,1
381,11,20,"19891005CALOA","Loara High School","High","1989-10-05",1989,"09:30:00",9,9.5,"Anaheim","CA",33.81167,-117.94381,"Classroom","Inside School Building","0-5",9,0.8582478982862085,0.1440458979923278,0.607373372418806,0.3312416896224022,0.4267206294462085,0.0339645913336426,0.39579831436276436,1,0,0,0,1,1,302462.08163229487,-1355590.1696790664,1,1039,0.8523646001704037,0.4444365156814456,1
382,12,179,"19891031TXOLD","Oliver Wendell Holmes Middle School","Middle","1989-10-31",1989,"NA:NA:NA",NA,NA,"Dallas","TX",32.715997,-96.790961,"Inside School Building","Inside School Building","0-5",-1,0.24096000450663269,0.3227430023252964,0.4523630167823285,0.004520423011854291,0.9128865364473313,0.5236317359376699,0.9162208065390587,1,0,0,0,1,1,2156085.813972006,-119024.7496385287,1,1301,0.6909898498561233,0.0634485378395766,1
383,13,180,"19891113NYALN","Alfred E. Smith High School","High","1989-11-13",1989,"NA:NA:NA",NA,NA,"New York","NY",40.81858,-73.91961,"Inside School Building","Inside School Building","0-5",-1,0.7849689675495028,0.13093490293249488,0.6706010112538934,0.5215373409446329,0.7432901558931917,0.86301010963507,0.10358411795459688,1,0,0,1,0,1,273585.69971279346,-1360084.9516877919,1,161,0.9022990451194346,0.8609543370548636,1
384,14,14,"19891115TXWOA","Workman Junior High School","JuniorHigh","1989-11-15",1989,"15:45:00",15,15.75,"Arlington","TX",32.68458,-97.09862,"Parking Lot","Outside on School Property","0-5",15,0.9970804094336927,0.8302645939402282,0.46079504932276905,0.03363887034356594,0.8683879578020424,0.012862722156569362,0.15970317227765918,1,0,0,0,1,1,-1755837.6640769579,-1001667.7947516359,1,1886,0.16552671766839921,0.12004434922710061,1
385,15,15,"19891122CACHO","Channel Islands High School","High","1989-11-22",1989,"15:00:00",15,15,"Oxnard","CA",34.1717564,-119.1626928,"Beside Building","Outside on School Property","0-5",15,0.8081717481836677,0.2856029469985515,0.23966783983632922,0.9325487087480724,0.7764795571565628,0.47992722038179636,0.25335997832007706,1,0,0,1,0,1,593018.7415090093,-1363702.367910302,1,387,0.1680608105380088,0.2229283400811255,1
386,16,181,"19891204LACAS","Caddo Magnet High School","High","1989-12-04",1989,"NA:NA:NA",NA,NA,"Shreveport","LA",32.4971775,-93.7193528,"School Bus","School Bus",NA,-1,0.382281253580004,0.6113639087416232,0.011481939116492867,0.6114953083451837,0.10934503935277462,0.2618092482443899,0.2137166573666036,1,0,0,0,1,1,313951.0150369918,-1351718.5595946438,1,316,0.9856408843770623,0.568717029877007,1
387,17,33,"19891205TXWWD","W W Samuell High School","High","1989-12-05",1989,"08:20:00",8,8.33,"Dallas","TX",32.747105,-96.667725,"Hallway","Inside School Building",NA,8,0.49699165066704154,0.7851327962707728,0.22718780138529837,0.5822144083213061,0.6881404686719179,0.1451352268923074,0.3413221128284931,1,0,0,0,1,1,1694875.8784896082,-311015.5568228872,1,1764,0.1134385047480464,0.6183089313562959,1
388,18,182,"19891205PASEM","Serra Catholic High School bus","High","1989-12-05",1989,"NA:NA:NA",NA,NA,"McKeesport","PA",40.3256515,-79.8243157,"School Bus","School Bus","0-5",-1,0.4397865333594382,0.4659681979101151,0.01495249685831368,0.5555197189096361,0.4140943787060678,0.9889186103828251,0.2387133571319282,1,0,0,0,1,1,1711768.0232098056,-952716.7859544526,1,1556,0.465449363226071,0.3333324317354709,1
389,19,183,"19891212SCCHC","Chester High School","High","1989-12-12",1989,"NA:NA:NA",NA,NA,"Chester","SC",34.6899299,-81.2020973,"Courtyard","Outside on School Property","0-5",-1,0.5152298854663968,0.5220026234164834,0.804990760749206,0.4716792069375515,0.18762804940342903,0.7465942273847759,0.18703010422177613,1,0,0,0,1,1,2315792.5269883177,56185.88789637202,1,401,0.8710434136446565,0.19975294265896082,1
390,1,184,"19900116RICEP","Central High School","High","1990-01-16",1990,"NA:NA:NA",NA,NA,"Providence","RI",41.816693,-71.420488,"Beside Building","Outside on School Property","0-5",-1,0.761803504312411,0.25301329512149096,0.4498131473083049,0.031383922789245844,0.30646275565959513,0.30310011003166437,0.8795494269579649,1,0,1,0,2,2,1330818.9970528674,-529848.5043561734,1,376,0.3118697467725724,0.43805950437672436,1
391,2,16,"19900220OHTAC","Taft High School","High","1990-02-20",1990,"15:00:00",15,15,"Cincinnati","OH",39.10978,-84.52189,"Outside on School Property","Outside on School Property","5-10",15,0.4133076989091933,0.2679566852748394,0.3335106472950429,0.2801015835721046,0.14603608916513622,0.6212647380307317,0.6812577731907368,1,0,0,1,0,1,2156318.689472017,-143239.31795108118,1,1689,0.792005731491372,0.6079330304637551,1
392,3,34,"19900327NYNEB","New Utrecht High School","High","1990-03-27",1990,"08:40:00",8,8.67,"Brooklyn","NY",40.6132392,-74.0031345,"Hallway","Inside School Building","0-5",8,0.24733323440887034,0.7797488186042756,0.09671895741485059,0.2603108442854136,0.21556180715560913,0.3205012232065201,0.7540163414087147,1,0,0,0,1,1,311666.4411572869,-1348060.8447002247,2,92,0.7277627103030682,0.2435474421363324,1
393,4,185,"19900403TXSKD","Skyline High School","High","1990-04-03",1990,"NA:NA:NA",NA,NA,"Dallas","TX",32.781038,-96.690632,"Hallway","Inside School Building","5-10",-1,0.8846659394912422,0.32342952210456133,0.47110835183411837,0.5781923264730722,0.1500032132025808,0.34140370320528746,0.5828493679873645,1,0,0,0,1,1,-1909381.5909765004,-598966.1309102415,3,20,0.5988021490629762,0.6735135582275689,1
394,5,186,"19900504CAMOE","Mount Pleasant High School","High","1990-05-04",1990,"NA:NA:NA",NA,NA,"East San Jose","CA",37.3462173,-121.8082615,"Hallway","Inside School Building",NA,-1,0.25601951219141483,0.5539843654260039,0.7204572658520192,0.24123348644934595,0.18353283172473311,0.16541361901909113,0.3435475246515125,2,0,0,1,1,2,1134417.991760633,-935144.7519956675,1,1198,0.17304303869605064,0.7415818253066391,1
395,6,21,"19900520TNHIC","Hickman County High School","High","1990-05-20",1990,"09:00:00",9,9,"Centerville","TN",35.8085819,-87.429809,"Hallway","Inside School Building","0-5",9,0.3488833336159587,0.09341959888115525,0.19436976057477295,0.667130384594202,0.1395583637058735,0.5086478984449059,0.9922917869407684,1,0,0,1,0,1,260355.51344121507,-1357425.4674159645,1,794,0.23526885802857578,0.24424139666371047,1
396,7,25,"19900531TXSUF","Sunrise Elementary School","Elementary","1990-05-31",1990,"10:15:00",10,10.25,"Fort Worth","TX",32.71263,-97.23807,"Playground","Outside on School Property","0-5",10,0.36182032874785364,0.37903966242447495,0.4516450872179121,0.6105919773690403,0.6666862950660288,0.12935201940126717,0.24704195628874004,2,0,0,0,2,2,1733767.8053210473,-892876.866215628,1,1678,0.976046035066247,0.049139428650960326,1
397,8,187,"19900824NCMYC","Myers Park High School","High","1990-08-24",1990,"NA:NA:NA",NA,NA,"Charlotte","NC",35.1703042,-80.833549,"Football Field/Track","Outside on School Property","5-10",-1,0.33316204277798533,0.27918044361285865,0.21040037856437266,0.9931747014634311,0.004320132778957486,0.282021512510255,0.1697754836641252,1,0,0,1,0,1,299592.17678314017,-1352140.3249466238,1,1219,0.31964211934246123,0.7458163690753281,1
398,9,26,"19900827TXWHD","W H Adamson High School","High","1990-08-27",1990,"10:15:00",10,10.25,"Dallas","TX",32.748217,-96.820192,"Outside on School Property","Outside on School Property","0-5",10,0.857128843665123,0.28908827947452664,0.41059753159061074,0.4938773629255593,0.5480809286236763,0.4325698686297983,0.5610567301046103,0,0,0,0,0,0,-1348802.3680457398,-857884.6047228025,2,122,0.17839053785428405,0.8628941264469177,1
399,10,11,"19900827NVELL","Eldorado High School","High","1990-08-27",1990,"07:15:00",7,7.25,"Las Vegas","NV",36.179639,-115.050656,"Hallway","Inside School Building","5-10",7,0.7053390105720609,0.9960938494186848,0.2785862584132701,0.008374240482226014,0.15230155712924898,0.9467205342371017,0.2215163824148476,1,0,0,1,0,1,1457934.139988865,-1070562.363556137,1,593,0.12474208860658109,0.94240728369914,1
400,11,35,"19900906GASOC","South Forsyth Middle School - High School","6-12","1990-09-06",1990,"08:25:00",8,8.42,"Cumming","GA",34.1162078,-84.1530609,"Classroom","Inside School Building","0-5",8,0.006699034944176674,0.1533537192735821,0.672510185977444,0.31766258040443063,0.019851577701047063,0.45884917955845594,0.6680691745132208,0,0,0,0,0,0,156719.21368439097,-1722076.828087703,1,1594,0.919179865391925,0.9204539684578776,1
401,12,23,"19900911TXSAS","Sam Houston High School","High","1990-09-11",1990,"11:55:00",11,11.92,"San Antonio","TX",29.42495,-98.399604,"Beside Building","Outside on School Property","5-10",11,0.23789771227166057,0.5612135846167803,0.6395730047952384,0.5126008053775877,0.7998750284314156,0.1488245336804539,0.18223569286055863,3,0,0,0,3,3,1222420.0868820706,-1179266.0171276273,1,1516,0.8824230288155377,0.6767053545918316,1
402,13,188,"19900922ALLEB","Legion Field Statium (high school game)","High","1990-09-22",1990,"NA:NA:NA",NA,NA,"Birmingham","AL",33.5104209,-86.8426696,"Football Field/Track","Outside on School Property","5-10",-1,0.989362083375454,0.08757302933372557,0.6198561964556575,0.9645139870699495,0.2148397397249937,0.6474673326592892,0.23036872292868793,2,0,0,0,2,2,299592.17678314017,-1352140.3249466238,1,1006,0.16976905008777976,0.5821826583705842,1
403,14,6,"19901002TXWHD","W H Adamson High School","High","1990-10-02",1990,"16:50:00",16,16.83,"Dallas","TX",32.748217,-96.820192,"Parking Lot","Outside on School Property","5-10",16,0.526679371483624,0.41082140151411295,0.0010757152922451496,0.322385405190289,0.64453373872675,0.11222636234015226,0.08772131148725748,0,0,1,0,1,1,1245503.6467133756,-619605.3655259808,2,122,0.17839053785428405,0.8628941264469177,2
404,15,24,"19901029INCHC","Charlestown High School","High","1990-10-29",1990,"11:10:00",11,11.17,"Charlestown","IN",38.4531219,-85.6659942,"Classroom","Inside School Building","0-5",11,0.22527337656356394,0.08978895843029022,0.45409017126075923,0.2554874599445611,0.5303688251879066,0.3946865936741233,0.42176820198073983,0,0,0,0,0,0,315877.53148727084,-1328413.7840475147,1,393,0.6741868425160646,0.7448360500857234,1
405,16,189,"19901030TXNAG","Naaman Forest High School","High","1990-10-30",1990,"NA:NA:NA",NA,NA,"Garland","TX",32.957502,-96.63869,"Office","Inside School Building","0-5",-1,0.20066178683191538,0.9771280160639435,0.05412162630818784,0.8269502371549606,0.6240318373311311,0.3492744034156203,0.2441213063430041,1,0,0,0,1,1,294594.1680721184,-1357796.6226846974,1,1222,0.2718902050983161,0.05652672960422933,1
406,17,6,"19901110TXJUD","Justin Kimball High School","High","1990-11-10",1990,"20:40:00",20,20.67,"Dallas","TX",32.698636,-96.8751488,"Football Field/Track","Outside on School Property",NA,20,0.47625916451215744,0.9551523346453905,0.9217484560795128,0.5498589635826647,0.6733384458348155,0.21657721023075283,0.07747736386954784,1,0,0,0,1,1,987800.9197928282,-1574961.4703026337,1,924,0.46136892680078745,0.44498730706982315,1
407,18,7,"19901213LASAS","Salmen High School","High","1990-12-13",1990,"20:52:00",20,20.87,"Slidell","LA",30.247514,-89.790117,"Parking Lot","Outside on School Property","30-50",20,0.2431842447258532,0.10408519324846566,0.9671561024151742,0.9406652909237891,0.3426841925829649,0.027012513019144535,0.04193938220851123,0,0,0,0,0,0,304280.72473375127,-1329247.9710469146,1,1514,0.46357376384548843,0.09368561278097332,1
408,1,22,"19910108TXRIR","Richardson High School","High","1991-01-08",1991,"09:45:00",9,9.75,"Richardson","TX",32.9539872,-96.7623197,"Classroom","Inside School Building","0-5",9,0.6459038865286857,0.5190661463420838,0.6278897116426378,0.09626167709939182,0.23059643036685884,0.4668151654768735,0.33151998301036656,0,0,0,0,0,0,311814.2063472664,-1350639.3081583192,1,1450,0.2551056833472103,0.7303668805398047,1
409,2,190,"19910117TXHOD","Hood Middle School","Middle","1991-01-17",1991,"NA:NA:NA",NA,NA,"Dallas","TX",32.75763,-96.69,"Outside on School Property","Outside on School Property","0-5",-1,0.21118442807346582,0.7683396795764565,0.18939243629574776,0.41683928738348186,0.3784137307666242,0.026873210445046425,0.8889396577142179,0,0,1,0,1,1,962248.7316583365,-1610899.0652272615,1,829,0.2837117768358439,0.17351204645819962,1
410,3,16,"19910219LABON","Booker T. Washington High School","High","1991-02-19",1991,"13:00:00",13,13,"New Orleans","LA",29.9502,-90.08896,"Outside on School Property","Outside on School Property","0-5",13,0.195988810621202,0.1455654096789658,0.6099873909261078,0.40532003133557737,0.8426875381264836,0.22211954952217638,0.8490177027415484,1,0,1,1,1,2,1221981.3530558862,-1300432.8144498738,2,39,0.2168927628081292,0.047348293941468,1
411,4,23,"19910313ALSES","Selma High School","High","1991-03-13",1991,"09:35:00",9,9.58,"Selma","AL",32.42839,-87.02184,"Gym","Inside School Building","0-5",9,0.3040952680166811,0.4166551528032869,0.4437491975259036,0.7374091972596943,0.2631221800111234,0.9589963101316243,0.40978628513403237,2,0,0,0,2,2,1608424.0654382412,-975650.6599161131,2,114,0.5805284935049713,0.7990462514571846,1
412,5,191,"19910314SCWOP","Woodmont High School","High","1991-03-14",1991,"NA:NA:NA",NA,NA,"Piedmont","SC",34.687881,-82.358865,"Parking Lot","Outside on School Property",NA,-1,0.9088731925003231,0.5779066549148411,0.6983345584012568,0.7172513152472675,0.7175229138229042,0.49840769614093006,0.5239889759104699,2,0,2,0,4,4,1736722.3913920848,-884104.4040558839,1,1878,0.9673549288418144,0.8614218761213124,1
413,6,16,"19910325NCGAC","Garinger High School","High","1991-03-25",1991,"14:20:00",14,14.33,"Charlotte","NC",35.2411186,-80.7819651,"Front of School","Outside on School Property",NA,14,0.8646111222915351,0.5792574882507324,0.96466323453933,0.7401810109149665,0.713893665233627,0.8059137528762221,0.23504705913364887,1,0,0,1,0,1,1170097.7873426748,-477041.14176446095,4,7,0.5298924585804343,0.7768624054733664,2
414,7,36,"19910411SCNOR","Northwest High School","High","1991-04-11",1991,"08:00:00",8,8,"Rock Hill","SC",39.8303384,-86.2665536,"Cafeteria","Inside School Building","0-5",8,0.509736608248204,0.17647867184132338,0.24472055211663246,0.220404984196648,0.03038894827477634,0.2874648671131581,0.42051113746128976,0,0,0,0,0,0,889677.2765367223,-1259909.740557534,1,1274,0.8317903177812696,0.7171438923105597,1
415,8,192,"19910423MSHUB","Humphrey's County High School","High","1991-04-23",1991,"NA:NA:NA",NA,NA,"Belzoni","MS",33.186099,-90.484567,"Classroom","Inside School Building","0-5",-1,0.6906844431068748,0.9829726770985872,0.06607022322714329,0.20221889624372125,0.2253408117685467,0.37294655083678663,0.43303773598745465,1,0,0,0,1,1,-1677066.8720013124,-1047877.0020637384,1,845,0.6596213371958584,0.707173747709021,1
416,9,193,"19910423CARAC","Ralph J. Bunche Middle School","Middle","1991-04-23",1991,"NA:NA:NA",NA,NA,"Compton","CA",33.921486,-118.226886,"Beside Building","Outside on School Property","5-10",-1,0.6164433644153178,0.37879958050325513,0.3858578766230494,0.01656524557620287,0.505622498691082,0.5408991964068264,0.43103040917776525,1,0,0,1,0,1,1442078.1464704461,-411880.2357404816,1,1424,0.5149656347930431,0.3792097535915673,1
417,10,17,"19910510OHFRC","Franklin Alternative Middle School","Middle","1991-05-10",1991,"14:00:00",14,14,"Columbus","OH",39.95312,-82.99129,"Front of School","Outside on School Property","0-5",14,0.23170669586397707,0.8621598856989294,0.7796882041729987,0.8872941427398473,0.7566850332077593,0.47099670860916376,0.15434110653586686,1,0,0,1,0,1,456165.2979350633,-637899.7310823133,1,665,0.8164781387895346,0.5467520703095943,1
418,11,194,"19910516KSCOK","Coronado Middle School","Middle","1991-05-16",1991,"NA:NA:NA",NA,NA,"Kansas City","KS",39.12489,-94.72716,"Inside School Building","Inside School Building","0-5",-1,0.8863971859682351,0.4302392532117665,0.49500091979280114,0.29283937672153115,0.05097935674712062,0.7475103135220706,0.31692717783153057,1,0,1,0,2,2,1993922.7149595474,-1897467.8707517406,1,459,0.03372777299955487,0.4247146521229297,1
419,12,27,"19910521FLSCP","School of Choice",NA,"1991-05-21",1991,"10:30:00",10,10.5,"Pahokee","FL",25.78917,-80.19,"Beside Building","Outside on School Property","5-10",10,0.24195763166062534,0.7845417640637606,0.19792543584480882,0.8612253409810364,0.7166781928390265,0.1371718030422926,0.995730227092281,2,0,1,1,2,3,-1690033.3457220588,-1017589.8537377247,1,1541,0.7223988680634648,0.31112110149115324,1
420,13,195,"19910521CAROS","Robert A. Millikan Junior High School","JuniorHigh","1991-05-21",1991,"NA:NA:NA",NA,NA,"Sherman Oaks","CA",34.16278,-118.42786,"Front of School","Outside on School Property","5-10",-1,0.7303777388297021,0.9308210737071931,0.32288079848513007,0.8423340746667236,0.06355483736842871,0.5127865027170628,0.7831303304992616,1,0,0,1,0,1,-1694554.9910392945,-1039787.3681655594,1,1466,0.438274537678808,0.1637014534790069,1
421,14,28,"19910722CAWEL","Westchester High School","High","1991-07-22",1991,"10:30:00",10,10.5,"Los Angeles","CA",33.95877,-118.42952,"Front of School","Outside on School Property","5-10",10,0.942553135799244,0.8923455488402396,0.3758153636008501,0.07124998886138201,0.8445412879809737,0.4655675624962896,0.6167039147112519,1,0,0,0,1,1,-1680530.4486036308,-1050252.2162381737,1,1826,0.4881555652245879,0.6301967948675156,1
422,15,196,"19910730CAENC","Enterprise Middle School","Middle","1991-07-30",1991,"NA:NA:NA",NA,NA,"Compton","CA",33.893903,-118.258785,"Hallway","Inside School Building","0-5",-1,0.6875295438803732,0.996635394403711,0.8317230180837214,0.5234128308948129,0.9380723198410124,0.36127892904914916,0.27439168957062066,1,0,0,0,1,1,445579.45875278505,-1689364.136169274,1,606,0.4274282807018608,0.28945278842002153,1
423,16,4,"19910913TXMAH","Madison High School","High","1991-09-13",1991,"23:00:00",23,23,"Houston","TX",29.62961,-95.43663,"Parking Lot","Outside on School Property","10-30",23,0.2619026987813413,0.24927514628507197,0.6601464822888374,0.841429325286299,0.5859030126594007,0.279288582270965,0.5280734025873244,1,0,0,1,0,1,1025132.8469567149,-276580.28272816946,1,1065,0.8868625715840608,0.8561159269884229,1
424,17,2,"19910917ILWOC","Woodson High School","High","1991-09-17",1991,"17:00:00",17,17,"Chicago","IL",41.8142,-87.60866,"Gym","Inside School Building","10-30",17,0.4930816402193159,0.7357865066733211,0.6341241411864758,0.07512026536278427,0.1332631327677518,0.008462338941171765,0.46127293864265084,1,0,0,0,1,1,480710.25562804536,-1661251.4932442233,2,132,0.683332197368145,0.18960553244687617,1
425,18,197,"19910918TXCRC","Crosby High School","High","1991-09-18",1991,"NA:NA:NA",NA,NA,"Crosby","TX",29.867525,-95.063347,"Cafeteria","Inside School Building","0-5",-1,0.6299788781907409,0.6448537546675652,0.5589907316025347,0.2740671928040683,0.4222006662748754,0.8379525737836957,0.8291337948758155,1,0,0,1,0,1,433931.15275200614,-1669971.9120239627,1,465,0.8340543091762811,0.7206270424649119,1
426,19,12,"19911002TXSPH","Spring Woods High School (bus)","High","1991-10-02",1991,"07:14:00",7,7.23,"Houston","TX",29.81126,-95.54711,"School Bus","School Bus","0-5",7,0.47962714452296495,0.9665254089049995,0.7300496741663665,0.7767016489524394,0.45230751391500235,0.24566261749714613,0.8909834010992199,1,0,0,0,1,1,-1673210.213596455,-1035515.2485606794,1,1632,0.45631956099532545,0.46807925472967327,1
427,20,198,"19911004CAROL","Roosevelt High School","High","1991-10-04",1991,"NA:NA:NA",NA,NA,"Los Angeles","CA",34.0377052,-118.2113938,"Football Field/Track","Outside on School Property",NA,-1,0.11965649062767625,0.8181472204159945,0.39194909227080643,0.19058582349680364,0.6056086444295943,0.725271102739498,0.3272058248985559,0,0,0,0,0,0,-1685707.2254468966,-1034496.4575423833,1,1485,0.1313782543875277,0.9633844406343997,1
428,21,3,"19911004CADOL","Dorsey High School","High","1991-10-04",1991,"17:27:00",17,17.45,"Los Angeles","CA",34.02251,-118.34647,"Football Field/Track","Outside on School Property","5-10",17,0.055185470497235656,0.22082074917852879,0.08389888517558575,0.452615596819669,0.23521064408123493,0.336470423033461,0.9462953703477979,2,0,0,0,2,2,1789760.5630769243,46742.61899305594,2,57,0.28221841738559306,0.5912002841942012,1
429,22,24,"19911009NYJAB","James Monroe High School","High","1991-10-09",1991,"09:15:00",9,9.25,"Bronx","NY",43.194562,-77.635293,"Outside on School Property","Outside on School Property","0-5",9,0.9266964318230748,0.6680919609498233,0.2334392408374697,0.8913763188757002,0.7573809076566249,0.2076431482564658,0.11562395445071161,1,0,0,1,0,1,2321717.1873338516,120343.27017612301,1,879,0.795422020368278,0.17884916393086314,1
430,23,17,"19911011MAMAR","Madison Park High School","High","1991-10-11",1991,"15:55:00",15,15.92,"Roxbury","MA",42.3317673,-71.0902912,"Football Field/Track","Outside on School Property","0-5",15,0.7863417519256473,0.5601344192400575,0.03831737954169512,0.3077848458196968,0.03589520580135286,0.6896919750142843,0.05530043807812035,1,0,0,0,1,1,470451.8979772885,-1681043.7742621065,1,1068,0.7706229614559561,0.4171016903128475,1
431,24,17,"19911015TXGEP","Genevieve Sparks Elementary School","Elementary","1991-10-15",1991,"13:15:00",13,13.25,"Pasadena","TX",29.693012,-95.178189,"Field (General)","Outside on School Property","0-5",13,0.2770507086534053,0.9458019533194602,0.34009891212917864,0.21553418529219925,0.32865900662727654,0.9137920285575092,0.18417501845397055,1,0,0,0,1,1,1637642.8009856518,-964410.0709726762,1,693,0.2010806160978973,0.649938648333773,1
432,25,28,"19911015SCWOW","Woodruff High School","High","1991-10-15",1991,"12:30:00",12,12.5,"Woodruff","SC",34.731668,-82.022042,"Hallway","Inside School Building","0-5",12,0.7063730638474226,0.9813682532403618,0.06527554523199797,0.43034663680009544,0.57106071151793,0.9666402190923691,0.47074138675816357,0,0,0,0,0,0,2211238.2688777517,144643.47580301968,1,1884,0.9357790821231902,0.8532771894242615,1
433,26,199,"19911015NHMOS","Monadnock Regional High School","High","1991-10-15",1991,"NA:NA:NA",NA,NA,"Swanzey","NH",42.8738374,-72.2794096,"Hallway","Inside School Building","0-5",-1,0.08918679086491466,0.05070372228510678,0.6391814358066767,0.3106816899962723,0.5106614204123616,0.7321604744065553,0.6761477976106107,0,2,0,0,2,2,300140.4720496337,-1357491.153325839,1,1178,0.719587282743305,0.38947935379110277,1
434,27,13,"19911023TXOAD","Oak Cliff High School","High","1991-10-23",1991,"07:45:00",7,7.75,"Dallas","TX",32.699558,-96.816242,"Hallway","Inside School Building","0-5",7,0.44376103882677853,0.020767997950315475,0.6006165682338178,0.21259382367134094,0.752068022498861,0.43753120698966086,0.8639833370689303,1,0,0,1,0,1,962037.3061911599,-1611726.5575458042,2,97,0.9146571704186499,0.9446810714434832,2
435,28,18,"19911106LAWAN","Walter L. Cohen Senior High School","High","1991-11-06",1991,"15:30:00",15,15.5,"New Orleans","LA",29.9429511,-90.0919556,"Parking Lot","Outside on School Property","0-5",15,0.06836361763998866,0.12386360694654286,0.9516162301879376,0.9200470270588994,0.39187693875283003,0.00570302177220583,0.6760298176668584,2,0,0,1,1,2,-604326.5549661851,-1450883.8632045388,1,1775,0.09969916078262031,0.774550273315981,1
436,29,200,"19911111TXYSE","Ysleta High School","High","1991-11-11",1991,"NA:NA:NA",NA,NA,"El Paso","TX",31.70122,-106.34109,"Front of School","Outside on School Property",NA,-1,0.6178404351230711,0.8082491857931018,0.10997419222258031,0.5072271190583706,0.3451359742321074,0.23634915286675096,0.32197439461015165,2,0,0,1,1,2,460688.40589385637,-1679627.3725012222,1,1897,0.6011253900360316,0.9226984458509833,1
437,30,2,"19911114TXMIH","Milby High School","High","1991-11-14",1991,"00:00:00",0,0,"Houston","TX",29.71074,-95.27746,"Hallway","Inside School Building","5-10",0,0.7472474714741111,0.9311918511521071,0.2897758833132684,0.8189442791044712,0.24513503024354577,0.05480294837616384,0.3746976484544575,1,0,0,0,1,1,2163129.071888734,-134624.6977135391,1,1163,0.581447338219732,0.07360617071390152,1
