"serial","year_serial","time_serial","incident_id","school","school_level","date","year","first_shot_time","time_slot","decimal_time","city","state","lat","long","location","location_type","shoot_category","time_slot_group","random","random_x","random_y","random_x1","random_y1","random_x2","random_y2","males","na","females","killed","injured","total","long2","lat2","frequency","school_number","random_x10","random_y10","internal_serial"
15,15,11,"19701005MIPOD","Pontiac Central High School","High","1970-10-05",1970,"NA:NA:NA",NA,NA,"Detroit","MI",42.382562387198,-83.111122276698,"Outside on School Property","Outside on School Property",NA,-1,0.531182898208499,0.21614344278350472,0.3303424601908773,0.2332228822633624,0.16927184048108757,0.5976400901563466,0.9490499338135123,4,0,0,0,4,4,1378930.1280994383,-148190.51530241157,1,1400,0.06556070852093399,0.38843308319337666,1
16,16,12,"19701019TNBOM","Booker T. Washington High School","High","1970-10-19",1970,"NA:NA:NA",NA,NA,"Memphis","TN",35.12787,-90.04537,"Inside School Building","Inside School Building",NA,-1,0.35458594001829624,0.38742844853550196,0.3972564598079771,0.7427819350268692,0.2253930950537324,0.26213445281609893,0.0851867264136672,1,0,0,1,0,1,907979.5115758439,-1041601.8064613722,1,281,0.2168927628081292,0.047348293941468,1
17,17,2,"19701020TNWAN","Washington Junior High School","JuniorHigh","1970-10-20",1970,"12:00:00",12,12,"Nashville","TN",36.16311,-86.8125,"Hallway","Inside School Building","0-5",12,0.25526333576999605,0.1145918897818774,0.9741913152392954,0.7426562684122473,0.13449254375882447,0.8473526751622558,0.36141176032833755,1,0,0,0,1,1,1183967.0240059018,-887713.2738515573,1,1782,0.5214452869258821,0.35218956181779504,1
18,18,1,"19701027OHAPM","Appleseed Junior High School","JuniorHigh","1970-10-27",1970,"08:30:00",8,8.5,"Mansfield","OH",40.74811,-82.52711,"Bathroom","Inside School Building","0-5",8,0.8390568485483527,0.13374162185937166,0.14375009899958968,0.7006796507630497,0.5486785154789686,0.8022617760580033,0.6107328168582171,1,0,0,0,1,1,1462924.6117800456,-316789.860632015,1,183,0.5609479837585241,0.5007421032059938,1
19,19,13,"19701120ILHAC","Harlan High School","High","1970-11-20",1970,"NA:NA:NA",NA,NA,"Chicago","IL",41.7186751,-87.6215668,"Inside School Building","Inside School Building",NA,-1,0.6865597884170711,0.45717092463746667,0.47835650853812695,0.25962022389285266,0.6251931488513947,0.6297962949611247,0.22107722144573927,1,0,1,0,2,2,1025622.3791032593,-287263.66433115414,1,759,0.3044777906034142,0.2272511962801218,1
20,20,1,"19701212WIXAA","Xavier High School","High","1970-12-12",1970,"23:55:00",23,23.92,"Appleton","WI",44.24909,-88.43357,"Inside School Building","Inside School Building","0-5",23,0.01475563901476562,0.6931639523245394,0.39685901696793735,0.6505372819956392,0.983352756826207,0.07343843695707619,0.43180334428325295,1,0,0,1,0,1,919963.182146262,-17999.623772540057,1,1890,0.8889501239173114,0.5404767792206258,1
21,1,14,"19710202PAMOP","Morris E. Leeds Middle School","Middle","1971-02-02",1971,"NA:NA:NA",NA,NA,"Philadelphia","PA",39.9510605,-75.1656204,"Outside on School Property","Outside on School Property","0-5",-1,0.44061179459095,0.44585145241580904,0.15767929726280272,0.5981571383308619,0.5906368638388813,0.2881048866547644,0.13962165592238307,1,0,0,1,0,1,2084653.7942027461,-244443.83308352437,1,1188,0.8267154903151095,0.6207267609424889,1
22,2,15,"19710205PAJOW","John F. Kennedy High School","High","1971-02-05",1971,"NA:NA:NA",NA,NA,"Willingboro","PA",41.68007,-77.42831,"ND","ND",NA,-1,0.6440090583637357,0.4660546106752008,0.180993823800236,0.4496437597554177,0.5329131609760225,0.401291748508811,0.6471354204695672,1,0,0,0,1,1,1850765.3250663874,-112331.17790710117,1,902,0.48225791146978736,0.8113824878819287,1
23,3,16,"19710210TXOAD","Oak Cliff High School","High","1971-02-10",1971,"NA:NA:NA",NA,NA,"Dallas","TX",32.699558,-96.816242,"Outside on School Property","Outside on School Property","0-5",-1,0.40879272925667465,0.2514342162758112,0.9292347624432296,0.6418165715876967,0.35600825282745063,0.5123390313237906,0.9680255448911339,0,2,0,0,2,2,300140.4720496337,-1357491.153325839,2,97,0.9146571704186499,0.9446810714434832,1
24,4,17,"19710225OHFRC","Franklin D. Roosevelt Junior High School","JuniorHigh","1971-02-25",1971,"NA:NA:NA",NA,NA,"Cleveland","OH",41.53528,-81.610830000000007,"Bathroom","Inside School Building","0-5",-1,0.486095501575619,0.5989067209884524,0.6598753337748349,0.6339302712585777,0.943760039517656,0.12861946038901806,0.9460606619250029,1,0,0,1,0,1,1519348.4693491224,-214207.3082676294,1,667,0.7390316855162382,0.37011614139191806,1
25,5,18,"19710309AZROT","Roskruge Junior High School","JuniorHigh","1971-03-09",1971,"NA:NA:NA",NA,NA,"Tucson","AZ",32.22845,-110.96327,"Playground","Outside on School Property","0-5",-1,0.20322747179307044,0.10215161181986332,0.32737054815515876,0.3130700287874788,0.6966131292283535,0.9813565521035343,0.46394187957048416,0,0,1,0,1,1,-1036067.0546967563,-1348867.4900967486,1,1494,0.24405922810547054,0.16169593064114451,1
26,6,19,"19710405PAWIH","William Penn High School","High","1971-04-05",1971,"NA:NA:NA",NA,NA,"Harrisburg","PA",40.29259,-76.89831,"Cafeteria","Inside School Building","0-5",-1,0.6535169905982912,0.07128415582701564,0.07832514261826873,0.4234609263949096,0.6585553458426148,0.9623353711795062,0.9425464407540858,0,0,1,0,1,1,1934115.7510419486,-250022.2901195923,1,1855,0.994660422205925,0.013018368510529399,1
